num_vertices,num_arestas,execution_BFS,reached_vertices_BFS,execution_DFS,reached_vertices_DFS,
1000,4995,0.0165503,999,0.0159441,999,
1000,9990,0.0190114,999,0.0163619,999,
1000,14985,0.0203736,999,0.0181203,999,
1000,19980,0.0203796,999,0.020783,999,
1000,24975,0.0218299,999,0.0216218,999,
1000,29970,0.0237226,999,0.0237679,999,
1000,34965,0.024034,999,0.0257651,999,
1000,39960,0.0376333,999,0.030682,999,
1000,44955,0.0289758,999,0.0283623,999,
1000,49950,0.0282901,999,0.0299396,999,
1000,54945,0.030924,999,0.0313922,999,
1000,59940,0.0305489,999,0.032609,999,
1000,64935,0.0313297,999,0.0336336,999,
1000,69930,0.0326098,999,0.0360877,999,
1000,74925,0.0344092,999,0.0380794,999,
1000,79920,0.0338468,999,0.0391638,999,
1000,84915,0.0443783,999,0.0466325,999,
1000,89910,0.0375033,999,0.0444399,999,
1000,94905,0.0393885,999,0.043299,999,
1000,99900,0.041406,999,0.0454586,999,
1000,104895,0.0390956,999,0.0440591,999,
1000,109890,0.0402835,999,0.0458608,999,
1000,114885,0.0414765,999,0.047018,999,
1000,119880,0.0422449,999,0.0480875,999,
1000,124875,0.0423275,999,0.0489936,999,
1000,129870,0.0435307,999,0.0527308,999,
1000,134865,0.0444188,999,0.0512812,999,
1000,139860,0.0470217,999,0.0537599,999,
1000,144855,0.0472583,999,0.055433,999,
1000,149850,0.047496,999,0.0562581,999,
1000,154845,0.0500564,999,0.0583662,999,
1000,159840,0.0504405,999,0.0592476,999,
1000,164835,0.0506308,999,0.0590616,999,
1000,169830,0.0517953,999,0.0603976,999,
1000,174825,0.0512303,999,0.0633459,999,
1000,179820,0.053738,999,0.0632406,999,
1000,184815,0.0542091,999,0.0643312,999,
1000,189810,0.0565596,999,0.0665868,999,
1000,194805,0.0559876,999,0.067724,999,
1000,199800,0.0568964,999,0.0678324,999,
1000,204795,0.0567308,999,0.0692187,999,
1000,209790,0.0590763,999,0.0698697,999,
1000,214785,0.0589874,999,0.0728422,999,
1000,219780,0.0583806,999,0.0728187,999,
1000,224775,0.0596294,999,0.074205,999,
1000,229770,0.061228,999,0.0757876,999,
1000,234765,0.0627222,999,0.0790579,999,
1000,239760,0.0625132,999,0.0769667,999,
1000,244755,0.0634092,999,0.0768592,999,
1000,249750,0.0655747,999,0.0792844,999,
1000,254745,0.0674622,999,0.0841683,999,
1000,259740,0.066761,999,0.0802804,999,
1000,264735,0.0667112,999,0.081999,999,
1000,269730,0.065943,999,0.0839383,999,
1000,274725,0.0685147,999,0.0828334,999,
1000,279720,0.0700044,999,0.089487,999,
1000,284715,0.0688031,999,0.0844012,999,
1000,289710,0.0687054,999,0.085137,999,
1000,294705,0.0691194,999,0.0878428,999,
1000,299700,0.0701778,999,0.0876667,999,
1000,304695,0.0698182,999,0.0952282,999,
1000,309690,0.072921,999,0.0904142,999,
1000,314685,0.072545,999,0.0911098,999,
1000,319680,0.0709633,999,0.0919476,999,
1000,324675,0.0730628,999,0.092932,999,
1000,329670,0.0739715,999,0.0937795,999,
1000,334665,0.0745342,999,0.0950579,999,
1000,339660,0.0764659,999,0.0946414,999,
1000,344655,0.0748216,999,0.0946776,999,
1000,349650,0.0741313,999,0.0952309,999,
1000,354645,0.0750786,999,0.0975627,999,
1000,359640,0.0755015,999,0.0972569,999,
1000,364635,0.0767413,999,0.0982379,999,
1000,369630,0.078248,999,0.100985,999,
1000,374625,0.0760883,999,0.0995985,999,
1000,379620,0.0780804,999,0.101186,999,
1000,384615,0.0794515,999,0.100368,999,
1000,389610,0.0767469,999,0.101886,999,
1000,394605,0.0766735,999,0.101818,999,
1000,399600,0.078066,999,0.102475,999,
1000,404595,0.0786528,999,0.103526,999,
1000,409590,0.0801349,999,0.103533,999,
1000,414585,0.079473,999,0.103035,999,
1000,419580,0.0805851,999,0.10369,999,
1000,424575,0.0788487,999,0.104378,999,
1000,429570,0.0790017,999,0.103979,999,
1000,434565,0.0806955,999,0.105882,999,
1000,439560,0.080076,999,0.107107,999,
1000,444555,0.0795929,999,0.105173,999,
1000,449550,0.0804501,999,0.105687,999,
1000,454545,0.0798786,999,0.107291,999,
1000,459540,0.0800314,999,0.105756,999,
1000,464535,0.0811934,999,0.107943,999,
1000,469530,0.0806055,999,0.106322,999,
1000,474525,0.0810877,999,0.108885,999,
1000,479520,0.0810385,999,0.108494,999,
1000,484515,0.0836438,999,0.115706,999,
1000,489510,0.0931619,999,0.151285,999,
1000,494505,0.0905361,999,0.119814,999,
1000,499500,0.0892372,999,0.113911,999,
