num_vertices,num_arestas,execution_BFS,reached_vertices_BFS,execution_DFS,reached_vertices_DFS,
1000,4995,0.00270511,999,0.00270411,999,
1000,9990,0.00348598,999,0.00413013,999,
1000,14985,0.00465808,999,0.00662755,999,
1000,19980,0.00612907,999,0.00965229,999,
1000,24975,0.00789277,999,0.00948292,999,
1000,29970,0.0082296,999,0.0109473,999,
1000,34965,0.0091618,999,0.0124793,999,
1000,39960,0.0101352,999,0.0139864,999,
1000,44955,0.0112945,999,0.0150952,999,
1000,49950,0.0114502,999,0.0159999,999,
1000,54945,0.0122265,999,0.0174404,999,
1000,59940,0.0129339,999,0.0186381,999,
1000,64935,0.0141956,999,0.0210762,999,
1000,69930,0.0151122,999,0.0221185,999,
1000,74925,0.0170506,999,0.0237793,999,
1000,79920,0.0171393,999,0.025803,999,
1000,84915,0.0187398,999,0.027045,999,
1000,89910,0.0182852,999,0.027433,999,
1000,94905,0.0191577,999,0.0276634,999,
1000,99900,0.0200932,999,0.0307403,999,
1000,104895,0.020337,999,0.0312996,999,
1000,109890,0.0219563,999,0.033183,999,
1000,114885,0.0222379,999,0.0338609,999,
1000,119880,0.023064,999,0.0351524,999,
1000,124875,0.0240145,999,0.0378314,999,
1000,129870,0.0247893,999,0.0365159,999,
1000,134865,0.0252483,999,0.036696,999,
1000,139860,0.0260554,999,0.0395822,999,
1000,144855,0.027183,999,0.0406823,999,
1000,149850,0.0277898,999,0.0422462,999,
1000,154845,0.0287293,999,0.0434308,999,
1000,159840,0.0289955,999,0.0463875,999,
1000,164835,0.0301823,999,0.0460692,999,
1000,169830,0.0311287,999,0.0476758,999,
1000,174825,0.0315224,999,0.0474246,999,
1000,179820,0.0323907,999,0.0491149,999,
1000,184815,0.0331237,999,0.0515055,999,
1000,189810,0.0335699,999,0.0515056,999,
1000,194805,0.0347468,999,0.0526136,999,
1000,199800,0.0348701,999,0.0535259,999,
1000,204795,0.0353738,999,0.0545566,999,
1000,209790,0.0361136,999,0.0552481,999,
1000,214785,0.0368889,999,0.0561271,999,
1000,219780,0.0376426,999,0.0576439,999,
1000,224775,0.0383627,999,0.0587114,999,
1000,229770,0.0390686,999,0.0570502,999,
1000,234765,0.0400291,999,0.060452,999,
1000,239760,0.0398827,999,0.0605602,999,
1000,244755,0.0404152,999,0.0624274,999,
1000,249750,0.0399794,999,0.0633012,999,
1000,254745,0.0407919,999,0.0648877,999,
1000,259740,0.0424644,999,0.0649373,999,
1000,264735,0.0429207,999,0.0654163,999,
1000,269730,0.043406,999,0.0660433,999,
1000,274725,0.0445936,999,0.0673767,999,
1000,279720,0.0440396,999,0.0693819,999,
1000,284715,0.0449385,999,0.0695407,999,
1000,289710,0.0457241,999,0.0675237,999,
1000,294705,0.0465374,999,0.0702444,999,
1000,299700,0.0471161,999,0.0730904,999,
1000,304695,0.0465928,999,0.0723361,999,
1000,309690,0.0467362,999,0.072964,999,
1000,314685,0.0484792,999,0.0717667,999,
1000,319680,0.0486855,999,0.0759203,999,
1000,324675,0.0492933,999,0.0758925,999,
1000,329670,0.0494508,999,0.0754258,999,
1000,334665,0.0492291,999,0.0761922,999,
1000,339660,0.0503179,999,0.0758592,999,
1000,344655,0.0510262,999,0.0761861,999,
1000,349650,0.0516434,999,0.0798061,999,
1000,354645,0.0523976,999,0.0823537,999,
1000,359640,0.0535939,999,0.0810988,999,
1000,364635,0.053399,999,0.0822072,999,
1000,369630,0.054669,999,0.0797176,999,
1000,374625,0.0548171,999,0.08312,999,
1000,379620,0.0546452,999,0.0845586,999,
1000,384615,0.056367,999,0.0825092,999,
1000,389610,0.0548808,999,0.086692,999,
1000,394605,0.0566151,999,0.0860041,999,
1000,399600,0.0570689,999,0.0870403,999,
1000,404595,0.0571275,999,0.0865339,999,
1000,409590,0.0580794,999,0.0906505,999,
1000,414585,0.0579967,999,0.0912841,999,
1000,419580,0.058584,999,0.092679,999,
1000,424575,0.0594379,999,0.0919688,999,
1000,429570,0.0597379,999,0.0924837,999,
1000,434565,0.0601914,999,0.092686,999,
1000,439560,0.0637472,999,0.0951454,999,
1000,444555,0.0605248,999,0.0919049,999,
1000,449550,0.0603013,999,0.092978,999,
1000,454545,0.0611781,999,0.0964699,999,
1000,459540,0.0615081,999,0.0973376,999,
1000,464535,0.0618621,999,0.0950992,999,
1000,469530,0.0632687,999,0.0985597,999,
1000,474525,0.0628768,999,0.0981261,999,
1000,479520,0.0633903,999,0.0987304,999,
1000,484515,0.0645728,999,0.0993803,999,
1000,489510,0.0644435,999,0.100032,999,
1000,494505,0.0635439,999,0.0975601,999,
1000,499500,0.0652447,999,0.10097,999,
